desc,system,channel
钻石,酒馆,酒馆加速任务
酒馆卷轴,酒馆,酒馆增加任务
钻石,工会,购买公会boss复活
卡牌,先知之树,先知置换-暗夜
先知祝福，英雄置换,先知之树,先知置换-暗夜
钻石,竞技场,挑战赛下注
卡牌,先知之树,先知置换-恶魔
先知祝福，英雄置换,先知之树,先知置换-恶魔
金币,龙岛,巨龙之岛升级建筑
极乐之境金羽毛,龙岛,巨龙之岛升级建筑
龙纹币,龙岛,巨龙之岛升级建筑
钻石,转盘,刷新转盘
卡牌,英雄系统,卡牌合成
固定英雄卡牌碎片,周活动,卖道具
装备,周活动,卖道具
骰子 dice,周活动,卖道具
虚空石,周活动,卖道具
lemon_tea,周活动,卖道具
paddle2,周活动,卖道具
先知宝珠，先知门,先知之树,先知召唤-光暗
钻石,装备系统,升级水晶
金币,装备系统,升级水晶
时光之沙,装备系统,升级水晶
竞技场商场幸运币,竞技场,竞技场商店购买
好友boss体力，新的3,好友,FRIEND_MAZE_SEARCH
骰子 dice,周活动,旅行大富翁活动赠
钻石,龙岛,天马奇遇
竞技场门票,竞技场,使用竞技场门票
钻石,工会,升级许愿树
金币,工会,升级许愿树
钻石,周活动,买活动副本
先知宝珠，先知门,先知之树,先知召唤-暗夜
皮肤,分解功能,皮肤分解
固定英雄卡牌碎片,工会,捐出卡牌碎片
随机英雄碎片,工会,捐出卡牌碎片
钻石,个人信息,换名字
转盘商场幸运币,转盘,转盘商店刷新
钻石,周活动,虚空购买石头
金币,英雄系统,卡牌升级
卡牌升级石头,英雄系统,卡牌升级
指定皮肤碎片(指定的skin id),背包系统,皮肤碎片合成
随机皮肤碎片,背包系统,皮肤碎片合成
公会币,工会,工会商店购买
远征币,远征,远征商店购买
金币,英雄系统,卡牌升阶
卡牌进阶石头,英雄系统,卡牌升阶
许愿币,转盘,使用转盘
钻石,工会,创建公会
进背包的宝箱,周活动,开宝箱
极乐之境金苹果,龙岛,巨龙之岛好友助战
极乐之境金苹果,龙岛,巨龙之岛打boss消耗
